zip,city,state,county,timezone,lat,lng
01510,Clinton,MA,Worcester,America/New_York,42.4119,-71.68882
01515,East Brookfield,MA,Worcester,America/New_York,42.20328,-72.0467
01516,Douglas,MA,Worcester,America/New_York,42.05284,-71.75092
01518,Fiskdale,MA,Worcester,America/New_York,42.12349,-72.11861
01519,Grafton,MA,Worcester,America/New_York,42.20102,-71.68008
01520,Holden,MA,Worcester,America/New_York,42.33536,-71.85284
01521,Holland,MA,Hampden,America/New_York,42.06012,-72.16592
01522,Jefferson,MA,Worcester,America/New_York,42.38137,-71.86913
01523,Lancaster,MA,Worcester,America/New_York,42.47971,-71.67844
01524,Leicester,MA,Worcester,America/New_York,42.24921,-71.91982
01525,Linwood,MA,Worcester,America/New_York,42.10683,-71.63236
01527,Millbury,MA,Worcester,America/New_York,42.19218,-71.77416
01529,Millville,MA,Worcester,America/New_York,42.03905,-71.57766
01531,New Braintree,MA,Worcester,America/New_York,42.31929,-72.12796
01532,Northborough,MA,Worcester,America/New_York,42.32315,-71.64621
01534,Northbridge,MA,Worcester,America/New_York,42.14044,-71.64291
01535,North Brookfield,MA,Worcester,America/New_York,42.2695,-72.07795
01536,North Grafton,MA,Worcester,America/New_York,42.23236,-71.69101
01537,North Oxford,MA,Worcester,America/New_York,42.16158,-71.89149
01540,Oxford,MA,Worcester,America/New_York,42.11634,-71.85733
01541,Princeton,MA,Worcester,America/New_York,42.45649,-71.88128
01542,Rochdale,MA,Worcester,America/New_York,42.20185,-71.91079
01543,Rutland,MA,Worcester,America/New_York,42.38481,-71.96726
01545,Shrewsbury,MA,Worcester,America/New_York,42.28423,-71.71554
01550,Southbridge,MA,Worcester,America/New_York,42.06039,-72.03377
01560,South Grafton,MA,Worcester,America/New_York,42.17496,-71.67763
01561,South Lancaster,MA,Worcester,America/New_York,42.44394,-71.68551
01562,Spencer,MA,Worcester,America/New_York,42.24715,-71.99189
01564,Sterling,MA,Worcester,America/New_York,42.44124,-71.77297
01566,Sturbridge,MA,Worcester,America/New_York,42.1024,-72.08116
01568,Upton,MA,Worcester,America/New_York,42.17702,-71.60462
01569,Uxbridge,MA,Worcester,America/New_York,42.05872,-71.63709
01570,Webster,MA,Worcester,America/New_York,42.05206,-71.8485
01571,Dudley,MA,Worcester,America/New_York,42.05501,-71.93519
01581,Westborough,MA,Worcester,America/New_York,42.26816,-71.61402
01583,West Boylston,MA,Worcester,America/New_York,42.37025,-71.78499
01585,West Brookfield,MA,Worcester,America/New_York,42.24153,-72.16193
01588,Whitinsville,MA,Worcester,America/New_York,42.11998,-71.66956
01590,Sutton,MA,Worcester,America/New_York,42.13395,-71.75087
01602,Worcester,MA,Worcester,America/New_York,42.27225,-71.84952
01603,Worcester,MA,Worcester,America/New_York,42.24407,-71.84445
01604,Worcester,MA,Worcester,America/New_York,42.25151,-71.76772
01605,Worcester,MA,Worcester,America/New_York,42.28947,-71.78751
01606,Worcester,MA,Worcester,America/New_York,42.31444,-71.79556
01607,Worcester,MA,Worcester,America/New_York,42.22747,-71.78872
01608,Worcester,MA,Worcester,America/New_York,42.26187,-71.80159
01609,Worcester,MA,Worcester,America/New_York,42.28645,-71.82895
01610,Worcester,MA,Worcester,America/New_York,42.24674,-71.80967
01611,Cherry Valley,MA,Worcester,America/New_York,42.2383,-71.87725
01612,Paxton,MA,Worcester,America/New_York,42.31035,-71.93077
01701,Framingham,MA,Middlesex,America/New_York,42.32174,-71.43817
